Row_Number,Cell_ID,MERFISH_cell_type_annotation.y
74,2945606900000017137,oligodendrocyte_progenitor_2
75,2795584800161100090,DH_ex_Nmu/Tac2
76,2787889600193100045,DH_in_Pdyn
77,2707604700223100175,oligodendrocyte_progenitor_2
78,2656144900504100185,astrocyte_1
79,2656144300084100094,MV_in_Esrrb
80,2795584800154100105,alpha_motoneuron
81,2787445900360100178,oligodendrocyte_progenitor_2
82,2707604700366100023,MV_ex_Syt2
83,2787445900396100260,oligodendrocyte_progenitor_2
84,2796212800825100072,oligodendrocyte_progenitor_2
85,2787889600389100028,alpha_motoneuron
86,2787445900326100090,DM_ex_Zfhx3
87,2707604800383100049,MV_in_Gabra1
88,2707604800162100195,oligodendrocyte_progenitor_2
89,2796212800946100129,oligodendrocyte_progenitor_2
90,2796212800914100091,oligodendrocyte_progenitor_2
91,2656144900350100089,DM_ex_Zfhx3
92,2656144900235100081,astrocyte_1
93,2787445900161100059,oligodendrocyte_progenitor_2
94,2795903600615100162,oligodendrocyte_progenitor_2
95,2656144900190100295,DH_ex_Nmu/Tac2
96,2787889600546100330,MV_in_Gabra1
97,2656144300062100061,MV_in_Gabra1
98,2795903600243100009,oligodendrocyte_progenitor_2
99,2787445900841100019,oligodendrocyte_progenitor_2
100,2707604800382100195,oligodendrocyte_progenitor_2
101,2795584800385100215,oligodendrocyte_progenitor_2
102,2656144900536100021,astrocyte_1
103,2796212800296100049,oligodendrocyte_progenitor_2
104,2726562800240200094,oligodendrocyte_progenitor_2
105,2707604000042100305,DH_ex_Nmu/Tac2
106,2656144900264100124,alpha_motoneuron
107,2787445900686100165,oligodendrocyte_progenitor_2
108,2796212801041100057,oligodendrocyte_progenitor_2
109,2787445900244100072,oligodendrocyte_progenitor_2
110,2707604000056100016,VH_in_Chat
111,2795903600642100170,oligodendrocyte_progenitor_2
112,2787445900358100026,oligodendrocyte_progenitor_2
113,2726544600219100150,oligodendrocyte_progenitor_2
114,2796212801041100119,alpha_motoneuron
115,2796212800560100117,DH_ex_Nmu/Tac2
116,2796212800890100108,DH_ex_Sox5
117,2707604700248100281,oligodendrocyte_progenitor_2
118,2787445900898100023,oligodendrocyte_progenitor_2
119,2707604700248100091,M_ex_Neurod2
120,2945606900000009855,DH_in_Cdh3
121,2656144900371100102,astrocyte_1
122,2707604000140100227,DH_ex_Grp
123,2946331700000008101,DH_in_Npy
124,2787889600546100277,DM_ex_Zfhx3
125,2707604000093200010,oligodendrocyte_progenitor_2
126,2787445900685100073,oligodendrocyte_progenitor_2
127,2795103300084100052,MV_in_Gm26673
128,2795903600518200075,oligodendrocyte_progenitor_2
129,2795903600322100187,DH_ex_Sox5
130,2787889600160100006,oligodendrocyte_progenitor_2
131,2707604700085200167,oligodendrocyte_progenitor_2
132,2707737900147100108,DH_in_Npy2r
133,2656144300102100114,DH_ex_Reln/Nmur2
134,2656143800190200105,oligodendrocyte_progenitor_2
135,2707604700070100030,oligodendrocyte_progenitor_2
136,2656144900562100025,astrocyte_1
137,2707604000053100097,oligodendrocyte_progenitor_2
138,2946331700000008807,MV_in_Gm26673
139,2787889600616100045,oligodendrocyte_progenitor_2
140,2796212800493100149,MV_in_Gm26673
141,2787889600230100284,MV_ex_Syt2
142,2795903600408100065,oligodendrocyte_progenitor_2
143,2796212800888100135,oligodendrocyte_progenitor_2
144,2707604700364100214,oligodendrocyte_progenitor_2
145,2796212800297200055,oligodendrocyte_progenitor_2
146,2796212800487100223,oligodendrocyte_progenitor_2
147,2795103300372200056,oligodendrocyte_progenitor_2
148,2787445900399100134,M_ex_Vsx2
149,2946331700000015639,oligodendrocyte_progenitor_2
150,2656144900164100025,astrocyte_1
151,2946331700000002079,alpha_motoneuron
152,2656143800153100117,MV_ex_Syt2
153,2787445900588100075,oligodendrocyte_progenitor_2
154,2787889600313100112,DM_ex_Zfhx3
155,2796212800715100019,oligodendrocyte_progenitor_2
156,2787445900897100064,oligodendrocyte_progenitor_2
157,2795903600479100093,oligodendrocyte_progenitor_2
158,2787445900262100140,MV_in_Gabra1
159,2707604800363100234,oligodendrocyte_progenitor_2
160,2945606900000001828,MV_in_Gm26673
161,2787445900658100058,oligodendrocyte_progenitor_2
162,2946331700000010666,DH_ex_Gpr83
163,2787445900130100018,DH_ex_Reln
164,2707604700067100155,MV_in_Sema5b
165,2787889600481100218,oligodendrocyte_progenitor_2
166,2796212800855100087,oligodendrocyte_progenitor_2
167,2796212801010100236,oligodendrocyte_progenitor_2
168,2795584800345100210,alpha_motoneuron
169,2945606900000010234,oligodendrocyte_progenitor_2
170,2795903600693100057,MV_ex_Shox2
171,2787445900645100111,DH_in_Pdyn/Gal
172,2656144900584100135,astrocyte_1
173,2656144900264100112,astrocyte_1
174,2656143800079100021,oligodendrocyte_progenitor_2
175,2656144300126100018,astrocyte_2
176,2796212800947100084,oligodendrocyte_progenitor_2
177,2707604000102100016,oligodendrocyte_progenitor_2
178,2656143800393100043,MV_in_Sema5b
179,2707604800082100014,oligodendrocyte_progenitor_2
180,2707604700086100193,DH_ex_Grpr
181,2707604700274100029,oligodendrocyte_progenitor_2
182,2796212800757100248,alpha_motoneuron
183,2656143800131100046,oligodendrocyte_progenitor_2
184,2707604800077100314,oligodendrocyte_progenitor_2
185,2795584800167100151,MV_ex_Syt2
186,2787445900231100213,oligodendrocyte_progenitor_2
187,2787889600348100214,DM_ex_Zfhx3
188,2707604700338100032,oligodendrocyte_progenitor_2
189,2787445900681100130,oligodendrocyte_progenitor_2
190,2707604000087100239,oligodendrocyte_progenitor_2
191,2795103300331100270,MV_in_Gm26673
192,2707737900035100098,astrocyte_2
193,2796212800631100050,MV_in_Sema5b
194,2787445900164100113,oligodendrocyte_progenitor_2
195,2707737900087100141,oligodendrocyte_progenitor_2
196,2796212800376100082,astrocyte_1
197,2787445900730100034,oligodendrocyte_progenitor_2
198,2787445900432100029,oligodendrocyte_progenitor_2
199,2787445900300100156,oligodendrocyte_progenitor_2
200,2787445900253100202,oligodendrocyte_progenitor_2
201,2707604800142100197,MV_in_Gabra1
202,2795103300148100201,oligodendrocyte_progenitor_2
203,2795584800389100159,MV_in_Gm26673
204,2656144900352100168,MV_in_Sema5b
205,2946331700000003245,MV_in_Gabra1
206,2707604700091100216,DH_in_Rorb
207,2726562800117100221,DH_ex_Nmu/Tac2
208,2796212800922100088,oligodendrocyte_1
209,2795103300232100182,oligodendrocyte_progenitor_2
210,2656144900288100036,astrocyte_1
211,2796212800561100090,M_in_Tfap2b
212,2795584800169100031,oligodendrocyte_progenitor_2
213,2707604700341100039,MV_in_Gabra1
214,2787889600390100059,alpha_motoneuron
215,2787889600450100151,oligodendrocyte_progenitor_2
216,2795584800389100096,oligodendrocyte_progenitor_2
217,2656144900190100144,DH_ex_Reln/Nmur2
218,2795103300347100038,oligodendrocyte_progenitor_2
219,2707604700227100012,oligodendrocyte_progenitor_2
220,2656144900585100048,astrocyte_1
221,2787445900351100087,oligodendrocyte_progenitor_2
222,2946331700000012796,DH_ex_Reln/Nmur2
223,2656144900264100107,astrocyte_1
224,2796212800748100095,oligodendrocyte_progenitor_2
225,2707737900073100227,astrocyte_2
226,2656144300164100166,DH_ex_Grp
227,2787445900193100145,oligodendrocyte_progenitor_2
228,2656143800104200190,oligodendrocyte_progenitor_2
229,2796212800594100177,astrocyte_2
230,2946331700000014936,astrocyte_1
231,2787445900245100048,oligodendrocyte_progenitor_2
232,2787445900895100085,MV_ex_Syt2
233,2946331700000000780,oligodendrocyte_progenitor_2
234,2656143800053100107,M_in_Tfap2b
235,2787445900206200104,oligodendrocyte_progenitor_2
236,2726543700142100163,oligodendrocyte_progenitor_2
237,2787445900859100045,oligodendrocyte_progenitor_2
238,2787445900858100203,oligodendrocyte_progenitor_2
239,2656143800241100024,oligodendrocyte_progenitor_2
240,2946331700000005085,M_in_Tfap2b
241,2946331700000015071,astrocyte_1
242,2707604000083100077,oligodendrocyte_progenitor_2
243,2796212800428100041,oligodendrocyte_progenitor_2
244,2656144300125100173,MV_ex_Syt2
245,2656144900113100186,MV_in_Gm26673
246,2796212800881100167,oligodendrocyte_progenitor_2
247,2656144300165100159,MV_in_Gabra1
248,2795903600327100169,oligodendrocyte_progenitor_2
249,2795903600237100116,alpha_motoneuron
250,2787445900791100061,oligodendrocyte_progenitor_2
251,2656144900583100064,astrocyte_1
252,2787445900094100118,oligodendrocyte_progenitor_2
253,2787889600441100079,MV_in_Sema5b
254,2946331700000021636,astrocyte_1
255,2787889600351100030,oligodendrocyte_progenitor_2
256,2796212800355100037,oligodendrocyte_progenitor_2
257,2787445900623100020,MV_in_Esrrb
258,2787889600059100121,oligodendrocyte_progenitor_2
259,2707604800221100086,oligodendrocyte_progenitor_2
260,2787889600313100228,oligodendrocyte_progenitor_2
261,2795903600540100034,oligodendrocyte_progenitor_2
262,2796212800462100180,oligodendrocyte_progenitor_2
263,2796212800747100207,DM_ex_Zfhx3
264,2707604800340100111,MV_in_Sema5b
265,2656144900220100341,astrocyte_1
266,2945606900000016925,DM_ex_Zfhx3
267,2787889600581100174,oligodendrocyte_progenitor_2
268,2787889600482100182,oligodendrocyte_progenitor_2
269,2656144900216100057,astrocyte_1
270,2656144900113100111,alpha_motoneuron
271,2787889600411100083,DH_ex_Reln/Nmur2
272,2787889600195100165,oligodendrocyte_progenitor_2
273,2707604700057100073,oligodendrocyte_progenitor_2
274,2795903600185200063,oligodendrocyte_progenitor_2
275,2707604800361100133,oligodendrocyte_progenitor_2
276,2795903600590100199,DH_ex_Nmu/Tac2
277,2796212800599100159,astrocyte_1
278,2707737900050100036,oligodendrocyte_progenitor_2
279,2795903600215100061,oligodendrocyte_progenitor_2
280,2726562700162100097,alpha_motoneuron
281,2787889600379100224,oligodendrocyte_progenitor_2
282,2707604000140100181,DH_ex_Nmu/Tac2
283,2656143800392100175,oligodendrocyte_progenitor_2
284,2656143800390100017,oligodendrocyte_progenitor_2
285,2795103300197100198,oligodendrocyte_progenitor_2
286,2726562800118100029,M_ex_Vsx2
287,2707604000071100054,M_ex_Neurod2
288,2656144900288100088,DH_ex_Reln
289,2787889600230100135,oligodendrocyte_progenitor_2
290,2787445900252100201,DH_in_Cdh3
291,2796212800296100099,oligodendrocyte_progenitor_2
292,2795903600186100098,DH_in_Npy2r
293,2726562800058100121,oligodendrocyte_progenitor_2
294,2656144900396100245,MV_in_Gabra1
295,2656143800129100194,oligodendrocyte_progenitor_2
296,2707604700342100254,oligodendrocyte_progenitor_2
297,2787889600397100156,oligodendrocyte_progenitor_2
298,2796212800599100280,alpha_motoneuron
299,2795584800239100092,DH_in_Pdyn
300,2707604800079100128,oligodendrocyte_progenitor_2
301,2787889600060100122,oligodendrocyte_progenitor_2
302,2707604700339100024,oligodendrocyte_progenitor_2
303,2787445900095100060,oligodendrocyte_progenitor_2
304,2795584800345100169,oligodendrocyte_progenitor_2
305,2796212800394100016,alpha_motoneuron
306,2656143800443100282,oligodendrocyte_progenitor_2
307,2787445900679100163,oligodendrocyte_progenitor_2
308,2795103300179100125,M_in_Tfap2b
309,2656144900489100170,MV_in_Gm26673
310,2656144900140100097,astrocyte_1
311,2796212800529100209,DH_in_Cdh3
312,2787889600514100132,oligodendrocyte_progenitor_2
313,2787445900896100099,oligodendrocyte_progenitor_2
314,2656144900111100317,astrocyte_1
315,2787445900620100027,MV_in_Gabra1
316,2707604800014100180,oligodendrocyte_progenitor_2
317,2796212800823100260,oligodendrocyte_1
318,2707604700338100124,alpha_motoneuron
319,2795584800241100104,oligodendrocyte_progenitor_2
320,2707604000058100035,DH_ex_Grp
321,2796212800888100307,MV_in_Gm26673
322,2656144300168200015,oligodendrocyte_progenitor_2
323,2707737900061100154,oligodendrocyte_progenitor_2
324,2707604700203200037,oligodendrocyte_progenitor_2
325,2796212800271100017,MV_in_Sema5b
326,2707737900085200010,oligodendrocyte_progenitor_2
327,2707604700367100078,DH_ex_Nmu/Tac2
328,2795903600033100172,oligodendrocyte_progenitor_2
329,2787445900822100086,DH_in_Npy2r
330,2787445900622100051,oligodendrocyte_progenitor_2
331,2707604800361100033,oligodendrocyte_progenitor_2
332,2796212801011100149,oligodendrocyte_progenitor_2
333,2946331700000015037,MV_ex_Shox2
334,2787445900761100284,oligodendrocyte_progenitor_2
335,2787889600094100191,MV_ex_Syt2
336,2656143800391100044,DH_ex_Reln
337,2796212800442100051,DH_in_Pdyn/Gal
338,2707604700249100101,MV_ex_Syt2
339,2787889600349100032,oligodendrocyte_progenitor_2
340,2946331700000003140,MV_ex_Syt2
341,2707604800343100166,DH_ex_Reln/Nmur2
342,2787445900330100015,DH_in_Pdyn/Gal
343,2787889600318100087,oligodendrocyte_progenitor_2
344,2795584800412100304,MV_in_Gabra1
345,2656144900395100164,astrocyte_1
346,2707604700061100008,oligodendrocyte_progenitor_2
347,2726562800262100019,MV_in_Sema5b
348,2945606900000003363,oligodendrocyte_progenitor_2
349,2787445900249100100,DH_in_Pdyn/Gal
350,2787889600409100174,oligodendrocyte_progenitor_2
351,2787445900362100150,MV_ex_Syt2
352,2656144900535100096,astrocyte_1
353,2796212801018100064,DH_in_Cdh3
354,2787889600025100052,oligodendrocyte_progenitor_2
355,2787445900698100149,oligodendrocyte_progenitor_2
356,2795103300148100032,alpha_motoneuron
357,2787889600169100032,oligodendrocyte_progenitor_2
358,2656144300125100167,astrocyte_2
359,2796212800854100064,M_ex_Vsx2
360,2795103300197100113,M_ex_Vsx2
361,2656143800217100082,oligodendrocyte_progenitor_2
362,2787445900400100191,alpha_motoneuron
363,2795903600320100185,oligodendrocyte_progenitor_2
364,2707604800425100183,oligodendrocyte_progenitor_2
365,2787445900395100117,oligodendrocyte_progenitor_2
366,2795903600158100030,DH_ex_Grpr
367,2946331700000002654,DH_ex_Reln
368,2795903600410100060,oligodendrocyte_progenitor_2
369,2656144900211100056,astrocyte_1
370,2656144900589100189,M_ex_Neurod2
371,2796212801009100074,alpha_motoneuron
372,2795903600242100134,oligodendrocyte_progenitor_2
373,2787445900358100134,oligodendrocyte_progenitor_2
374,2707604000095100174,oligodendrocyte_progenitor_2
375,2787445900400200097,oligodendrocyte_progenitor_2
376,2787889600126100101,oligodendrocyte_progenitor_2
377,2795584800421100234,MV_in_Gabra1
378,2726562700259100144,oligodendrocyte_progenitor_2
379,2796212800761100070,oligodendrocyte_progenitor_2
380,2787445900324100280,oligodendrocyte_progenitor_2
381,2945606900000006293,oligodendrocyte_progenitor_2
382,2795903600194100247,oligodendrocyte_progenitor_2
383,2707604700387100155,oligodendrocyte_progenitor_2
384,2707604700250100310,oligodendrocyte_progenitor_2
385,2946331700000004751,oligodendrocyte_progenitor_2
386,2796212800593100249,DM_ex_Zfhx3
387,2787445900549100184,DH_in_Npy
388,2796212800791100188,oligodendrocyte_progenitor_2
389,2656143800317100110,oligodendrocyte_progenitor_2
390,2656144900529100134,DH_ex_Nmu/Tac2
391,2707604000087100094,DH_in_Npy
392,2945606900000002033,oligodendrocyte_progenitor_2
393,2656144900426100092,astrocyte_1
394,2787445900088100181,oligodendrocyte_progenitor_2
395,2787445900096200073,oligodendrocyte_progenitor_2
396,2795584800203200112,oligodendrocyte_progenitor_2
397,2656144900371100133,astrocyte_1
398,2787889600351100294,oligodendrocyte_progenitor_2
399,2707604800014100106,DH_ex_Sox5
400,2787889600386100182,oligodendrocyte_progenitor_2
401,2787445900597100034,DM_ex_Zfhx3
402,2787445900548100266,DM_ex_Zfhx3
403,2795584800471100038,DH_ex_Sox5/Tac1
404,2795903600115100190,DH_in_Pdyn
405,2795903600301100164,oligodendrocyte_progenitor_2
406,2796212800920100105,oligodendrocyte_progenitor_2
407,2787445900545100303,oligodendrocyte_progenitor_2
408,2787445900253100093,DH_ex_Reln/Nmur2
409,2707604700271100115,oligodendrocyte_progenitor_2
410,2946331700000017785,astrocyte_1
411,2787889600056100136,DM_ex_Zfhx3
412,2707604000067100151,oligodendrocyte_progenitor_2
413,2787889600351100107,oligodendrocyte_progenitor_2
414,2795584800414100129,oligodendrocyte_progenitor_2
415,2787445900659100207,oligodendrocyte_progenitor_2
416,2787889600422100094,oligodendrocyte_progenitor_2
417,2787445900172100018,MV_ex_Syt2
418,2656143800192100097,alpha_motoneuron
419,2787889600058100126,oligodendrocyte_progenitor_2
420,2795584800449100047,oligodendrocyte_progenitor_2
421,2795584800238100248,DH_ex_Sox5
422,2656144900140100214,astrocyte_1
423,2787889600544200026,DH_ex_Sox5/Tac1
424,2795584800089100106,oligodendrocyte_progenitor_2
425,2796212800855100344,oligodendrocyte_progenitor_2
426,2787445900325100119,oligodendrocyte_progenitor_2
427,2796212800388100189,oligodendrocyte_progenitor_2
428,2946331700000012614,astrocyte_1
429,2795903600349100032,DH_ex_Reln/Nmur2
430,2796212800279100075,MV_ex_Syt2
431,2787445900724100035,DH_ex_Nmu/Tac2
432,2796212800109100204,DM_ex_Zfhx3
433,2787889600130100023,oligodendrocyte_progenitor_2
434,2796212801010100096,M_ex_Vsx2
435,2946331700000005636,astrocyte_1
436,2795903600348100068,DH_ex_Prkcg/Rxfp1
437,2795903600186100074,oligodendrocyte_progenitor_2
438,2787445900288100131,oligodendrocyte_progenitor_2
439,2787889600449100087,MV_in_Gabra1
440,2707604800221100111,oligodendrocyte_progenitor_2
441,2787889600314100178,oligodendrocyte_progenitor_2
442,2795903600143100347,oligodendrocyte_progenitor_2
443,2656144900529100180,DH_in_Pdyn
444,2795584800360100035,DH_in_Npy2r
445,2795584800422100168,oligodendrocyte_progenitor_2
446,2787889600362100119,MV_ex_Syt2
447,2726562700255100059,MV_ex_Syt2
448,2787445900682100121,DH_ex_Prkcg/Rxfp1
449,2795903600348100199,oligodendrocyte_progenitor_2
450,2787445900053100152,oligodendrocyte_progenitor_2
451,2656143800391100242,DH_in_Cdh3
452,2946331700000006646,oligodendrocyte_progenitor_2
453,2946331700000015748,astrocyte_1
454,2787889600129100159,oligodendrocyte_progenitor_2
455,2726562800078100018,oligodendrocyte_progenitor_2
456,2656143800216100259,oligodendrocyte_progenitor_2
457,2656144900540100087,astrocyte_1
458,2707604800200100008,oligodendrocyte_progenitor_2
459,2795103300400100026,oligodendrocyte_progenitor_2
460,2656144900531200110,MV_in_Gm26673
461,2707604700034100042,oligodendrocyte_progenitor_2
462,2796212800522100094,MV_in_Gabra1
463,2796212800758100177,oligodendrocyte_progenitor_2
464,2795903600355100024,DH_in_Pdyn/Gal
465,2946331700000013131,astrocyte_1
466,2707604700366100029,DH_in_Cdh3
467,2787889600194100139,oligodendrocyte_progenitor_2
468,2707604000069100141,MV_in_Gm26673
469,2707604800384100092,oligodendrocyte_progenitor_2
470,2945606900000003323,MV_ex_Shox2
471,2656144900139100212,astrocyte_1
472,2656143800443100030,MV_in_Gm26673
473,2795584800170100043,alpha_motoneuron
474,2796212800396100083,MV_in_Sema5b
475,2795103300120100075,MV_in_Gabra1
476,2795903600160100102,oligodendrocyte_progenitor_2
477,2787889600445100238,MV_in_Gm26673
478,2796212800977100211,oligodendrocyte_progenitor_2
479,2796212800438100102,alpha_motoneuron
480,2787445900263100093,DH_ex_Sox5/Tac1
481,2795903600143100217,oligodendrocyte_progenitor_2
482,2787889600317100019,oligodendrocyte_progenitor_2
483,2787445900697100153,oligodendrocyte_progenitor_2
484,2787445900132100112,oligodendrocyte_progenitor_2
485,2795903600115100108,MV_in_Gabra1
486,2707604000058100059,DH_ex_Reln/Npff
487,2707604700045100092,oligodendrocyte_progenitor_2
488,2707604800300100076,oligodendrocyte_progenitor_2
489,2945606900000003431,M_in_Tfap2b
490,2787445900764100091,oligodendrocyte_progenitor_2
491,2796212800463100136,oligodendrocyte_progenitor_2
492,2656144900288100082,DH_ex_Sox5
493,2787445900088100201,oligodendrocyte_progenitor_2
494,2707604700411100041,oligodendrocyte_progenitor_2
495,2795103300182100132,M_in_Tfap2b
496,2946331700000008099,oligodendrocyte_progenitor_2
497,2796212800625100108,oligodendrocyte_progenitor_2
498,2787445900596100029,oligodendrocyte_progenitor_2
499,2656144900210100220,astrocyte_1
500,2656144300210100180,oligodendrocyte_progenitor_2
501,2787889600023100184,oligodendrocyte_progenitor_2
502,2795103300347100069,MV_in_Gm26673
503,2656144900344200034,astrocyte_1
504,2795903600488200054,oligodendrocyte_progenitor_2
505,2946331700000020406,astrocyte_1
506,2787889600326100101,DH_in_Cdh3
507,2795903600269100056,oligodendrocyte_progenitor_2
508,2707737900147100131,oligodendrocyte_progenitor_2
509,2787445900549100057,DH_ex_Nmu/Tac2
510,2787445900363100109,MV_ex_Shox2
511,2656144900396100117,DH_in_Npy
512,2707604800120100121,MV_ex_Syt2
513,2787445900367100068,oligodendrocyte_progenitor_2
514,2656143800266100066,DH_ex_Nmu/Tac2
515,2787445900620100119,oligodendrocyte_progenitor_2
516,2787445900287100020,oligodendrocyte_progenitor_2
517,2946331700000013136,astrocyte_1
518,2796212800174200033,astrocyte_1
519,2787445900682100023,DH_ex_Nmu/Tac2
520,2787445900717100259,oligodendrocyte_progenitor_2
521,2787889600387100027,oligodendrocyte_progenitor_2
522,2795584800138100048,M_ex_Vsx2
523,2796212800954100037,DH_ex_Reln/Nmur2
524,2796212800656100013,oligodendrocyte_progenitor_2
525,2796212800980100181,DH_in_Rorb
526,2796212800563100072,oligodendrocyte_progenitor_2
527,2656144900565200005,astrocyte_1
528,2787889600385100039,oligodendrocyte_progenitor_2
529,2795584800347100131,oligodendrocyte_progenitor_2
530,2945606900000018196,oligodendrocyte_progenitor_2
531,2707604700272100061,oligodendrocyte_progenitor_2
532,2787889600169100011,oligodendrocyte_progenitor_2
533,2795903600614100101,oligodendrocyte_progenitor_2
534,2795584800494100046,oligodendrocyte_progenitor_2
535,2707604700248100112,oligodendrocyte_progenitor_2
536,2787889600166100085,oligodendrocyte_progenitor_2
537,2796212800945100124,cholinergic_interneuron
538,2945606900000012658,oligodendrocyte_progenitor_2
539,2796212800881100171,oligodendrocyte_progenitor_2
540,2795903600516100080,MV_in_Sema5b
541,2787445900686200056,oligodendrocyte_progenitor_2
542,2796212800747100330,DH_ex_Prkcg/Rxfp1
543,2707604700037100110,oligodendrocyte_progenitor_2
544,2796212800407100078,astrocyte_1
545,2707737900146100230,oligodendrocyte_progenitor_2
546,2787445900267100064,oligodendrocyte_progenitor_2
547,2656144900616100101,astrocyte_1
548,2787445900162100163,oligodendrocyte_progenitor_2
549,2945606900000017181,oligodendrocyte_progenitor_2
550,2656144900589100274,MV_in_Gm26673
551,2795584800700100078,alpha_motoneuron
552,2656144900558100076,astrocyte_1
553,2796212800593100302,oligodendrocyte_progenitor_2
554,2796212800780100136,oligodendrocyte_progenitor_2
555,2946331700000005008,oligodendrocyte_progenitor_2
556,2707604700364200132,M_ex_Vsx2
557,2787445900660100159,oligodendrocyte_progenitor_2
558,2726562800039100045,MV_in_Gm26673
559,2796212800979100244,oligodendrocyte_progenitor_2
560,2707604700086100104,oligodendrocyte_progenitor_2
561,2707604800082100213,oligodendrocyte_progenitor_2
562,2787445900131100119,DH_in_Npy
563,2707604700107100117,oligodendrocyte_progenitor_2
564,2795903600640100197,MV_in_Gabra1
565,2707604800199100015,oligodendrocyte_progenitor_2
566,2795103300445100066,M_in_Tfap2b
567,2796212800362100139,oligodendrocyte_progenitor_2
568,2787445900265100191,DH_in_Npy2r
569,2707604800162100025,oligodendrocyte_progenitor_2
570,2707604800424100113,oligodendrocyte_progenitor_2
571,2795103300233100215,DH_ex_Gpr83
572,2656144900584100073,astrocyte_1
573,2795103300346200080,oligodendrocyte_progenitor_2
574,2795584800174100059,oligodendrocyte_progenitor_2
575,2656144900395100116,astrocyte_1
576,2796212800264100143,MV_in_Esrrb
577,2787445900390100040,oligodendrocyte_progenitor_2
578,2795103300233100240,DH_in_Pdyn/Gal
579,2795903600185100128,oligodendrocyte_progenitor_2
580,2787445900691100035,oligodendrocyte_progenitor_2
581,2796212800376100075,astrocyte_1
582,2787445900241100098,oligodendrocyte_progenitor_2
583,2656144900289100234,astrocyte_1
584,2795103300371100149,oligodendrocyte_progenitor_2
585,2787445900682200034,oligodendrocyte_progenitor_2
586,2787445900363100060,MV_in_Esrrb
587,2787889600094100041,MV_ex_Syt2
588,2795903600481100038,oligodendrocyte_progenitor_2
589,2787445900265100031,oligodendrocyte_progenitor_2
590,2795103300367100209,DH_ex_Sox5
